Name	Source	ID	Link	Creators	Tags	Creation time	Update time	Latest version	Versions	Number of steps	Tools	EDAM operations	EDAM topics	License	DOI	Projects	Filtered on	To keep
Partial de novo workflow: ustacks only	WorkflowHub	349	https:/workflowhub.eu/workflows/349?version=1	Anna Syme		2022-05-31	2023-01-30	1	1	1	stacks2_ustacks	Sequence clustering	Population genomics	Apache-2.0		Galaxy Australia, Australian BioCommons	binn* in description	True
Annual percentage Change for population in Germany (1950 - 2025)	WorkflowHub	1382	https:/workflowhub.eu/workflows/1382?version=1	Anne Fouilloux		2025-05-28	2025-05-28	1	1	1	Generate stripe from tabular file with at least one column. User needs to specify the column name in the tool. 	Visualisation	Environmental sciences	MIT	10.48546/workflowhub.workflow.1382.1	Galaxy Climate	binn* in description	True
Pangeo 101 for everyone - introduction to Xarray	WorkflowHub	252	https:/workflowhub.eu/workflows/252?version=1		climate, gtn, copernicus, pangeo	2021-12-29	2023-01-16	1	1	40				MIT		Galaxy Climate	metap* in description	True
metaquantome-taxonomy-workflow	WorkflowHub	1459	https:/workflowhub.eu/workflows/1459?version=1		gtn, galaxy, proteomics	2025-06-02	2025-06-02	1	1	10	metaquantome_sample, metaquantome_viz, metaquantome_db, metaquantome_filter, metaquantome_expand, metaquantome_stat			CC-BY-4.0		Galaxy Training Network	metap* in name	True
WF4_Quantitation_Workflow	WorkflowHub	1468	https:/workflowhub.eu/workflows/1468?version=1		gtn, galaxy, name:clinicalmp	2025-06-02	2025-06-02	1	1	7	maxquant, Grep1, Cut1, Grouping1			CC-BY-4.0		Galaxy Training Network	metap* in description	True
Query a metaplasmidome database to identify and annotate plasmids in metagenomes	WorkflowHub	1469	https:/workflowhub.eu/workflows/1469?version=1		gtn, galaxy, metagenomics, metaplasmidome, name:microgalaxy	2025-06-02	2025-06-02	1	1	47	CONVERTER_fasta_to_tabular, Add_a_column1, tab2fasta, minimap2, Cut1, Filter1, join1, Grouping1, histogram_rpy, add_column_headers, MQoutputfilter, count_gff_features, tp_replace_in_column, tp_tail_tool, cat1, sort1, tp_sorted_uniq, ggplot2_histogram			MIT		Galaxy Training Network	metage* in tags	True
GTN Proteogemics3 Novel Peptide Analysis	WorkflowHub	1467	https:/workflowhub.eu/workflows/1467?version=1		gtn, galaxy, proteomics	2025-06-02	2025-06-02	1	1	6	ncbi_blastp_wrapper, pep_pointer, peptide_genomic_coordinate, query_tabular			CC-BY-4.0		Galaxy Training Network	binn* in description	True
CP_pipeline_IDR_training	WorkflowHub	1505	https:/workflowhub.eu/workflows/1505?version=1		cellprofiler, gtn, galaxy, imaging	2025-06-02	2025-06-02	1	1	25	cp_measure_granularity, cp_measure_object_size_shape, cp_save_images, cp_image_math, cp_mask_image, cp_measure_image_quality, cp_enhance_or_suppress_features, cp_export_to_spreadsheet, cp_relate_objects, cp_measure_texture, cp_convert_objects_to_image, cp_measure_object_intensity, cp_cellprofiler, cp_gray_to_color, cp_measure_image_area_occupied, cp_identify_primary_objects, cp_display_data_on_image, cp_common, idr_download_by_ids, cp_measure_image_intensity			CC-BY-4.0		Galaxy Training Network	profil* in tags	True
workflow-generate-dataset-for-assembly-tutorial	WorkflowHub	1480	https:/workflowhub.eu/workflows/1480?version=1		gtn, galaxy	2025-06-02	2025-06-02	1	1	18	cutadapt, random_lines1, bamtools, filter_tabular, ngsutils_bam_filter, fastqc, megahit, bowtie2, bg_uniq, seqtk_subseq, tp_cat			CC-BY-4.0		Galaxy Training Network	metage* in description	True
CP_object_tracking_example	WorkflowHub	1503	https:/workflowhub.eu/workflows/1503?version=1		cellprofiler, gtn, galaxy, imaging	2025-06-02	2025-06-02	1	1	12	cp_color_to_gray, cp_identify_primary_objects, cp_common, cp_measure_object_size_shape, cp_tile, cp_overlay_outlines, cp_export_to_spreadsheet, cp_measure_object_intensity, cp_save_images, cp_cellprofiler, unzip, cp_track_objects			CC-BY-4.0		Galaxy Training Network	profil* in tags	True
Training: 16S rRNA Sequencing With Mothur: Main Tutorial	WorkflowHub	1465	https:/workflowhub.eu/workflows/1465?version=1		gtn, galaxy, microbiome	2025-06-02	2025-06-02	1	1	38	mothur_summary_single, mothur_filter_seqs, mothur_make_biom, mothur_seq_error, mothur_cluster, mothur_classify_otu, mothur_cluster_split, mothur_screen_seqs, mothur_chimera_vsearch, mothur_remove_lineage, mothur_rarefaction_single, mothur_venn, mothur_heatmap_sim, mothur_sub_sample, mothur_make_contigs, taxonomy_krona_chart, mothur_pre_cluster, mothur_taxonomy_to_krona, mothur_unique_seqs, mothur_count_groups, mothur_align_seqs, mothur_dist_shared, mothur_summary_seqs, newick_display, mothur_make_shared, mothur_classify_seqs, mothur_remove_seqs, mothur_dist_seqs, mothur_count_seqs, mothur_tree_shared, mothur_remove_groups, mothur_get_groups, XY_Plot_1			CC-BY-4.0		Galaxy Training Network	microbiome in tags	True
WF3_VERIFICATION_WORKFLOW	WorkflowHub	1464	https:/workflowhub.eu/workflows/1464?version=1		gtn, galaxy, name:clinicalmp	2025-06-02	2025-06-02	1	1	19	dbbuilder, uniprotxml_downloader, query_tabular, Cut1, Filter1, Remove beginning1, Grouping1, collapse_dataset, pepquery2, tp_cat, fasta_merge_files_and_filter_unique_sequences			CC-BY-4.0		Galaxy Training Network	metap* in description	True
WF1_Database_Generation_Workflow	WorkflowHub	1461	https:/workflowhub.eu/workflows/1461?version=1		gtn, galaxy, name:clinicalmp	2025-06-02	2025-06-02	1	1	3	metanovo, fasta_merge_files_and_filter_unique_sequences			CC-BY-4.0		Galaxy Training Network	metap* in description	True
Workflow for Identifying MF from ITS2 sequencing using LotuS2 - tutorial example run'	WorkflowHub	1460	https:/workflowhub.eu/workflows/1460?version=1		ecology, fungi, gtn, galaxy, lotus2, metagenomics	2025-06-02	2025-06-02	1	1	1	lotus2			MIT		Galaxy Training Network	metage* in tags	True
Genome annotation with Maker	WorkflowHub	1504	https:/workflowhub.eu/workflows/1504?version=1		gtn, galaxy, genome-annotation	2025-06-02	2025-06-02	1	1	20	maker_map_ids, gffread, jcvi_gff_stats, jbrowse, maker, fasta-stats, snap_training, augustus_training, busco			GPL-3.0-or-later		Galaxy Training Network	annot* in tags	True
Single-cell QC with scater	WorkflowHub	1511	https:/workflowhub.eu/workflows/1511?version=1		gtn, galaxy, transcriptomics, single-cell	2025-06-02	2025-06-02	1	1	5	scater_filter, scater_create_qcmetric_ready_sce, scater_plot_dist_scatter, scater_plot_pca			CC-BY-4.0		Galaxy Training Network	binn* in description	True
Genome Annotation with Prokka	WorkflowHub	1497	https:/workflowhub.eu/workflows/1497?version=1		gtn, galaxy, genome-annotation	2025-06-02	2025-06-02	1	1	2	jbrowse, prokka			GPL-3.0-or-later		Galaxy Training Network	annot* in tags	True
Gene-based Pathogen Identification	WorkflowHub	1495	https:/workflowhub.eu/workflows/1495?version=1		gtn, galaxy, name:iwc, name:microgalaxy, name:pathogfair, name:collection	2025-06-02	2025-06-02	1	1	15	compose_text_param, medaka_consensus_pipeline, tab2fasta, bandage_image, abricate, collection_element_identifiers, tp_find_and_replace, flye, param_value_from_file, __BUILD_LIST__, fasta2tab, split_file_to_collection			MIT		Galaxy Training Network	microbiome in description	True
Allele-based Pathogen Identification	WorkflowHub	1479	https:/workflowhub.eu/workflows/1479?version=1		gtn, galaxy, name:iwc, name:microgalaxy, name:pathogfair, name:collection	2025-06-02	2025-06-02	1	1	23	snpSift_filter, regexColumn1, Count1, minimap2, Cut1, CONVERTER_gz_to_uncompressed, tp_head_tool, bcftools_norm, samtools_depth, samtools_coverage, Remove beginning1, table_compute, collapse_dataset, Paste1, clair3, tp_cut_tool, bcftools_consensus, snpSift_extractFields			MIT		Galaxy Training Network	microbiome in description	True
WF5_Data_Interpretation_Worklow	WorkflowHub	1482	https:/workflowhub.eu/workflows/1482?version=1		gtn, galaxy, name:clinicalmp	2025-06-02	2025-06-02	1	1	6	msstatstmt, unipept, Grep1			CC-BY-4.0		Galaxy Training Network	metap* in description	True
Copy Of GTN Training - Antibiotic Resistance Detection	WorkflowHub	1477	https:/workflowhub.eu/workflows/1477?version=1		gtn, galaxy, microbiome	2025-06-02	2025-06-02	1	1	12	nanoplot, unicycler, racon, gfa_to_fa, minimap2, miniasm, bandage_image, PlasFlow, staramr_search			CC-BY-4.0		Galaxy Training Network	microbiome in tags	True
Taxonomy Profiling and Visualization with Krona	WorkflowHub	1483	https:/workflowhub.eu/workflows/1483?version=1		gtn, galaxy, name:iwc, name:microgalaxy, name:pathogfair, name:collection	2025-06-02	2025-06-02	1	1	3	taxonomy_krona_chart, kraken2, krakentools_kreport2krona			MIT		Galaxy Training Network	profil* in name	True
Amplicon Tutorial	WorkflowHub	1476	https:/workflowhub.eu/workflows/1476?version=1		gtn, galaxy, microbiome	2025-06-02	2025-06-02	1	1	17	mothur_screen_seqs, mothur_filter_seqs, mothur_make_shared, mothur_classify_otu, mothur_make_biom, mothur_summary_seqs, mothur_cluster_split, krona-text, mothur_align_seqs, mothur_count_seqs, mothur_make_group, mothur_merge_files, mothur_pre_cluster, mothur_unique_seqs, mothur_classify_seqs			CC-BY-4.0		Galaxy Training Network	microbiome in tags	True
WF1_Database_Generation_Workflow	WorkflowHub	1474	https:/workflowhub.eu/workflows/1474?version=1		gtn, galaxy, name:clinicalmp	2025-06-02	2025-06-02	1	1	3	metanovo, fasta_merge_files_and_filter_unique_sequences			CC-BY-4.0		Galaxy Training Network	metap* in description	True
Taxonomic Profiling and Visualization of Metagenomic Data	WorkflowHub	1470	https:/workflowhub.eu/workflows/1470?version=1		gtn, galaxy, microbiome	2025-06-02	2025-06-02	1	1	10	__UNZIP_COLLECTION__, krakentools_kreport2krona, metaphlan, interactive_tool_phinch, taxonomy_krona_chart, kraken2, interactive_tool_pavian, kraken_biom, est_abundance			MIT		Galaxy Training Network	microbiome in tags	True
Training: 16S rRNA Analysis with Nanopore Sequencing Reads	WorkflowHub	1473	https:/workflowhub.eu/workflows/1473?version=1		gtn, galaxy, microbiome	2025-06-02	2025-06-02	1	1	11	fastp, tp_replace_in_line, datamash_reverse, fastqc, porechop, Remove beginning1, taxonomy_krona_chart, kraken2, multiqc			CC-BY-4.0		Galaxy Training Network	microbiome in tags	True
Long non-coding RNAs (lncRNAs) annotation with FEELnc	WorkflowHub	1484	https:/workflowhub.eu/workflows/1484?version=1		gtn, galaxy, genome-annotation	2025-06-02	2025-06-02	1	1	4	feelnc, stringtie, gffread, tp_cat			GPL-3.0-or-later		Galaxy Training Network	annot* in tags	True
GTN Tutorial: Data manipulation Olympics - all steps and exercises	WorkflowHub	1486	https:/workflowhub.eu/workflows/1486?version=1		gtn, galaxy, introduction	2025-06-02	2025-06-02	1	1	59	Add_a_column1, regexColumn1, tp_split_on_column, Count1, Show beginning1, Cut1, tabular_to_csv, Filter1, datamash_ops, join1, Remove beginning1, tp_cat, wc_gnu, cat1, tp_sort_header_tool, tp_sorted_uniq			CC-BY-4.0		Galaxy Training Network	binn* in description	True
EncyclopeDIA-GTN	WorkflowHub	1471	https:/workflowhub.eu/workflows/1471?version=1		gtn, galaxy, proteomics	2025-06-02	2025-06-02	1	1	4	msconvert, encyclopedia_quantify, encyclopedia_searchtolib			CC-BY-4.0		Galaxy Training Network	metap* in description	True
mrsa AMR gene detection	WorkflowHub	1488	https:/workflowhub.eu/workflows/1488?version=1		gtn, galaxy, microgalaxy, genome-annotation	2025-06-02	2025-06-02	1	1	6	jbrowse, bakta, tbl2gff3, bowtie2, Grep1, staramr_search			MIT		Galaxy Training Network	annot* in tags	True
CelSeq2: Multi Batch (mm10)	WorkflowHub	1491	https:/workflowhub.eu/workflows/1491?version=1		gtn, galaxy, transcriptomics	2025-06-02	2025-06-02	1	1	3	__FLATTEN__, collection_column_join, 0600e24fe786d72f			CC-BY-4.0		Galaxy Training Network	binn* in description	True
CelSeq2: Single Batch (mm10)	WorkflowHub	1494	https:/workflowhub.eu/workflows/1494?version=1		gtn, galaxy, transcriptomics	2025-06-02	2025-06-02	1	1	5	bamFilter, umi_tools_extract, featurecounts, rna_star, umi_tools_count			CC-BY-4.0		Galaxy Training Network	binn* in description	True
"WGS Part In ""Analyses Of Metagenomics Data - The Global Picture"""	WorkflowHub	1472	https:/workflowhub.eu/workflows/1472?version=1		gtn, galaxy, microbiome	2025-06-02	2025-06-02	1	1	7	metaphlan2, humann2_regroup_table, taxonomy_krona_chart, humann2, metaphlan2krona, humann2_renorm_table			CC-BY-4.0		Galaxy Training Network	microbiome in tags	True
GigaScience_Peptide_Annotation_demonstration_STS26T_neoantigen_candidates_workflow	WorkflowHub	1457	https:/workflowhub.eu/workflows/1457?version=1		gtn, galaxy, name:neoantigen	2025-06-02	2025-06-02	1	1	11	"regexColumn1, query_tabular, tab2fasta, converting pipes to columns
Convert characters1, converting colons to columns
Convert characters1, pep_pointer"			GPL-3.0-or-later		Galaxy Training Network	annot* in name	True
Final - Modeling Breast Cancer Subtypes + TABPFN	WorkflowHub	1873	https:/workflowhub.eu/workflows/1873?version=1		flexynesis, gtn, galaxy, machine_learning, tabpfn	2025-08-18	2025-08-18	1	1	19	, __EXTRACT_DATASET__, flexynesis, tabpfn, flexynesis_plot, pick_value, tp_sort_header_tool			MIT		Galaxy Training Network	metap* in description	True
metaQuantome_datacreation_workflow	WorkflowHub	1450	https:/workflowhub.eu/workflows/1450?version=1		gtn, galaxy, proteomics	2025-06-02	2025-06-02	1	1	16	tp_replace_in_line, search_gui, query_tabular, flashlfq, Cut1, tp_replace_in_column, Remove beginning1, Filter1, unipept, peptide_shaker, msconvert, regex1			CC-BY-4.0		Galaxy Training Network	metap* in name	True
WF2_Discovery-Workflow	WorkflowHub	1396	https:/workflowhub.eu/workflows/1396?version=1		gtn, galaxy, name:clinicalmp	2025-06-02	2025-06-02	1	1	24	fasta_merge_files_and_filter_unique_sequences, filter_tabular, search_gui, query_tabular, Grep1, maxquant, Cut1, peptide_shaker, Filter1, Remove beginning1, Grouping1, msconvert, tp_cat, ident_params, fasta_cli, fasta2tab, dbbuilder			CC-BY-4.0		Galaxy Training Network	metap* in description	True
Peptide And Protein ID Tutorial	WorkflowHub	1394	https:/workflowhub.eu/workflows/1394?version=1		gtn, galaxy, proteomics	2025-06-02	2025-06-02	1	1	7	"search_gui, Output: only those non-contaminant proteins not evaluated to be ""Doubtful"".
Grep1, Output: all identified proteins without common contaminants. CAVE: some proteins may be both!
Grep1, peptide_shaker, FileConverter, Output: all identified contaminants.
Grep1, PeakPickerHiRes"			CC-BY-4.0		Galaxy Training Network	binn* in description	True
ProteinID SG PS Tutorial WF datasetCollection	WorkflowHub	1399	https:/workflowhub.eu/workflows/1399?version=1		gtn, galaxy, proteomics	2025-06-02	2025-06-02	1	1	7	"search_gui, Output: all identified non-contaminant proteins
Grep1, Output: identified non-contaminant proteins, validated to be ""Confident"".
Grep1, FileConverter, peptide_shaker, Output: all identified contaminant proteins
Grep1, PeakPickerHiRes"			CC-BY-4.0		Galaxy Training Network	binn* in description	True
Workflow 2: Data Cleaning And Chimera Removal [Galaxy Training: 16S Microbial Analysis With Mothur]	WorkflowHub	1400	https:/workflowhub.eu/workflows/1400?version=1		gtn, galaxy, microbiome	2025-06-02	2025-06-02	1	1	9	mothur_screen_seqs, mothur_filter_seqs, mothur_chimera_vsearch, mothur_remove_seqs, mothur_summary_seqs, mothur_pre_cluster, mothur_unique_seqs			MIT		Galaxy Training Network	microbiome in tags	True
Workflow 5: OTU Clustering [Galaxy Training: 16S Microbial Analysis With Mothur]	WorkflowHub	1404	https:/workflowhub.eu/workflows/1404?version=1		gtn, galaxy, microbiome	2025-06-02	2025-06-02	1	1	6	mothur_sub_sample, mothur_count_groups, mothur_remove_groups, mothur_classify_otu, mothur_cluster_split, mothur_make_shared			MIT		Galaxy Training Network	microbiome in tags	True
GigaScience-IEDB-PepQuery-Neoantigen	WorkflowHub	1406	https:/workflowhub.eu/workflows/1406?version=1		gtn, galaxy, iedb, name:neoantigen	2025-06-02	2025-06-02	1	1	15	"anything less than 2 and more than 0.5 percentile rank
Filter1, query_tabular, table_compute, removing header
Remove beginning1, cutting first column to extract peptides
Cut1, pepquery2, anything less than 0.5 percentile rank
Filter1, this is to remove header
Remove beginning1, iedb_api, IEDB-Validated-NeoAntigen_Peptides, filtering if the validation column is yes or no 
Filter1"			GPL-3.0-or-later		Galaxy Training Network	binn* in description	True
Proteogenomics 1: Database Creation	WorkflowHub	1407	https:/workflowhub.eu/workflows/1407?version=1		gtn, galaxy	2025-06-02	2025-06-02	1	1	25	fasta2tab, cat_multi_datasets, filter_tabular, regexColumn1, query_tabular, tab2fasta, freebayes, stringtie, tp_replace_in_column, custom_pro_db, gffcompare_to_bed, translate_bed, gffcompare, hisat2, sqlite_to_tabular, bed_to_protein_map, fasta_merge_files_and_filter_unique_sequences			CC-BY-4.0		Galaxy Training Network	binn* in description	True
Workflow 4: Mock OTU Clustering [Galaxy Training: 16S Microbial Analysis With Mothur]	WorkflowHub	1408	https:/workflowhub.eu/workflows/1408?version=1		gtn, galaxy, microbiome	2025-06-02	2025-06-02	1	1	4	mothur_dist_seqs, mothur_rarefaction_single, mothur_make_shared, mothur_cluster			MIT		Galaxy Training Network	microbiome in tags	True
ProteoRE ProteomeAnnotation Tutorial (release 2.0)	WorkflowHub	1411	https:/workflowhub.eu/workflows/1411?version=1		gtn, galaxy, proteomics	2025-06-02	2025-06-02	1	1	9	Jvenn, IDconverter, rna_abbased_data, retrieve_from_hpa, reactome_analysis, MQoutputfilter, cluter_profiler			CC-BY-4.0		Galaxy Training Network	annot* in name	True
GigaScience_Database_merge_FragPipe_STS26T_demonstration	WorkflowHub	1410	https:/workflowhub.eu/workflows/1410?version=1		gtn, galaxy, name:neoantigen	2025-06-02	2025-06-02	1	1	7	"query_tabular, validate_fasta_database, Remove beginning1, collapse_dataset, removing anything that matches _HUMAN
Grep1, fragpipe, fasta_merge_files_and_filter_unique_sequences"			CC-BY-4.0		Galaxy Training Network	binn* in description	True
Workflow 6: Alpha Diversity [Galaxy Training: 16S Microbial Analysis With Mothur]	WorkflowHub	1412	https:/workflowhub.eu/workflows/1412?version=1		gtn, galaxy, microbiome	2025-06-02	2025-06-02	1	1	3	mothur_summary_single, mothur_rarefaction_single, XY_Plot_1			MIT		Galaxy Training Network	microbiome in tags	True
'Proteome Annotation'	WorkflowHub	1414	https:/workflowhub.eu/workflows/1414?version=1		gtn, galaxy, proteomics	2025-06-02	2025-06-02	1	1	9	Jvenn, IDconverter, rna_abbased_data, retrieve_from_hpa, cluter_profiler, MQoutputfilter, reactome_analysis			CC-BY-4.0		Galaxy Training Network	annot* in name	True
GigaScience_PepQuery2_demonstration_STS26T_neoantigen_candidates_workflow	WorkflowHub	1416	https:/workflowhub.eu/workflows/1416?version=1		gtn, galaxy, name:neoantigen	2025-06-02	2025-06-02	1	1	6	query_tabular, tab2fasta, ncbi_blastp_wrapper, pepquery2, msconvert			GPL-3.0-or-later		Galaxy Training Network	binn* in description	True
Bacterial Genome Annotation	WorkflowHub	1513	https:/workflowhub.eu/workflows/1513?version=1		gtn, galaxy, genome-annotation	2025-06-02	2025-06-02	1	1	10	isescan, jbrowse, bakta, tbl2gff3, Grouping1, tp_replace_in_column, integron_finder, plasmidfinder, tp_tail_tool			AGPL-3.0-or-later		Galaxy Training Network	annot* in tags	True
metaquantome-function-worklow	WorkflowHub	1453	https:/workflowhub.eu/workflows/1453?version=1		gtn, galaxy, proteomics	2025-06-02	2025-06-02	1	1	10	metaquantome_sample, metaquantome_viz, metaquantome_db, metaquantome_filter, metaquantome_expand, metaquantome_stat			CC-BY-4.0		Galaxy Training Network	metap* in name	True
Secreted Proteins Via GO Annotation And WoLF PSORT For shCTSB Paper	WorkflowHub	1417	https:/workflowhub.eu/workflows/1417?version=1		gtn, galaxy, proteomics	2025-06-02	2025-06-02	1	1	28	"tp_easyjoin_tool, uniprot, GO:0005764 ""lysosome""
get_subontology_from, tp_cut_tool, Filters all proteins that are predicted to reside in lysosomes.
Filter1, GO:0043230 ""extracellular organelle""
get_subontology_from, Extracts uniprot accessions from all proteins in the input list that are predicted by WolfPsort to be lysosomal and/or extracellular.
Convert characters1, Removes comment lines at the head of the Uniprot Go database file.
Grep1, wolf_psort, GO:0009986 ""cell surface""
term_id_vs_term_name, GO:0005576 ""extracellular region""
term_id_vs_term_name, GO:0005887 ""integral component of plasma membrane""
get_subontology_from, GO:0005887 ""integral component of plasma membrane""
term_id_vs_term_name, bg_uniq, GO:0005764 ""lysosome""
term_id_vs_term_name, GO:0009986 ""cell surface""
get_subontology_from, GO:0005576 ""extracellular region""
get_subontology_from, GO:0043230 ""extracellular organelle""
term_id_vs_term_name, filters out all proteins in the input protein list of interest that are annotated as ""extracellular region"" and ""lysosome"" and ""plasma membrane"" excluding ""extracellular organelle"" and ""cytoplasmic side of plasma membrane""
comp1, Filters all proteins that are predicted to reside extracellularly.
Filter1, tp_sorted_uniq"			CC-BY-4.0		Galaxy Training Network	annot* in name	True
Circos for E. Coli	WorkflowHub	1419	https:/workflowhub.eu/workflows/1419?version=1		gtn, galaxy, name:circos, name:viz	2025-06-02	2025-06-02	1	1	10	Cut1, circos_interval_to_text, circos_gc_skew, circos_interval_to_tile, gff2bed1, circos, circos_wiggle_to_scatter			AGPL-3.0-or-later		Galaxy Training Network	annot* in description	True
WF4_Quantitation_Workflow	WorkflowHub	1420	https:/workflowhub.eu/workflows/1420?version=1		gtn, galaxy, name:clinicalmp	2025-06-02	2025-06-02	1	1	7	maxquant, Grep1, Cut1, Grouping1			CC-BY-4.0		Galaxy Training Network	metap* in description	True
Workflow 1: Quality Control [Galaxy Training: 16S Microbial Analysis With Mothur]	WorkflowHub	1422	https:/workflowhub.eu/workflows/1422?version=1		gtn, galaxy, microbiome	2025-06-02	2025-06-02	1	1	5	mothur_summary_seqs, mothur_screen_seqs, mothur_count_seqs, mothur_unique_seqs			MIT		Galaxy Training Network	microbiome in tags	True
WF3_VERIFICATION_WORKFLOW	WorkflowHub	1425	https:/workflowhub.eu/workflows/1425?version=1		gtn, galaxy, name:clinicalmp	2025-06-02	2025-06-02	1	1	19	dbbuilder, uniprotxml_downloader, query_tabular, Cut1, Filter1, Remove beginning1, Grouping1, collapse_dataset, pepquery2, tp_cat, fasta_merge_files_and_filter_unique_sequences			CC-BY-4.0		Galaxy Training Network	metap* in description	True
Workflow 3: Classification [Galaxy Training: 16S Microbial Analysis With Mothur]	WorkflowHub	1428	https:/workflowhub.eu/workflows/1428?version=1		gtn, galaxy, microbiome	2025-06-02	2025-06-02	1	1	3	mothur_summary_seqs, mothur_remove_lineage, mothur_classify_seqs			MIT		Galaxy Training Network	microbiome in tags	True
Proteogenomics 2: Database Search	WorkflowHub	1429	https:/workflowhub.eu/workflows/1429?version=1		gtn, galaxy	2025-06-02	2025-06-02	1	1	7	search_gui, query_tabular, tab2fasta, ident_params, peptide_shaker, mz_to_sqlite			CC-BY-4.0		Galaxy Training Network	binn* in description	True
GigaScience-RNAseq-Optitype-seq2HLA-to-IEDB-alleles	WorkflowHub	1430	https:/workflowhub.eu/workflows/1430?version=1		gtn, galaxy, name:neoantigen, hla	2025-06-02	2025-06-02	1	1	4	optitype, query_tabular, tp_awk_tool, seq2hla			GPL-3.0-or-later		Galaxy Training Network	binn* in description	True
Calculating diversity from microbiome taxonomic data	WorkflowHub	1431	https:/workflowhub.eu/workflows/1431?version=1		gtn, galaxy, name:gtn	2025-06-02	2025-06-02	1	1	6	krakentools_beta_diversity, krakentools_alpha_diversity			MIT		Galaxy Training Network	microbiome in name	True
WF5_Data_Interpretation_Worklow	WorkflowHub	1433	https:/workflowhub.eu/workflows/1433?version=1		gtn, galaxy, name:clinicalmp	2025-06-02	2025-06-02	1	1	6	msstatstmt, unipept, Grep1			CC-BY-4.0		Galaxy Training Network	metap* in description	True
WF2_Discovery-Workflow	WorkflowHub	1435	https:/workflowhub.eu/workflows/1435?version=1		gtn, galaxy, name:clinicalmp	2025-06-02	2025-06-02	1	1	24	fasta_merge_files_and_filter_unique_sequences, filter_tabular, search_gui, query_tabular, Grep1, maxquant, Cut1, peptide_shaker, Filter1, Remove beginning1, Grouping1, msconvert, tp_cat, ident_params, fasta_cli, fasta2tab, dbbuilder			CC-BY-4.0		Galaxy Training Network	metap* in description	True
Gigascience_Indels_SAV_non-reference_demonstration_STS26T-Gent_Workflow	WorkflowHub	1437	https:/workflowhub.eu/workflows/1437?version=1		gtn, galaxy, name:neoantigen	2025-06-02	2025-06-02	1	1	33	"Uncompressed_RNA_Seq_Reads_1
CONVERTER_gz_to_uncompressed, filter_tabular, regexColumn1, sqlite_to_tabular, query_tabular, tab2fasta, freebayes, stringtie, tp_cat, gffcompare_to_bed, custom_pro_db, Uncompressed_RNA_Seq_Reads_2
CONVERTER_gz_to_uncompressed, translate_bed, gffcompare, hisat2, fasta2tab, bed_to_protein_map, fasta_merge_files_and_filter_unique_sequences"			CC-BY-4.0		Galaxy Training Network	binn* in description	True
Identification of the micro-organisms in a beer using Nanopore sequencing	WorkflowHub	1439	https:/workflowhub.eu/workflows/1439?version=1		gtn, galaxy, microbiome	2025-06-02	2025-06-02	1	1	8	fastp, krakentools_kreport2krona, fastqc, porechop, Filter1, taxonomy_krona_chart, kraken2			MIT		Galaxy Training Network	microbiome in tags	True
Gigascience_Fusions_demonstration_STS26T-Gent_Workflow	WorkflowHub	1442	https:/workflowhub.eu/workflows/1442?version=1		gtn, galaxy, name:neoantigen	2025-06-02	2025-06-02	1	1	9	"Uncompressed RNA-Seq forward reads
CONVERTER_gz_to_uncompressed, Uncompressed RNA-Seq reverse reads
CONVERTER_gz_to_uncompressed, tp_awk_tool, query_tabular, tab2fasta, rna_star, regex1, arriba_get_filters, arriba"			GPL-3.0-or-later		Galaxy Training Network	binn* in description	True
Metaproteomics_GTN	WorkflowHub	1443	https:/workflowhub.eu/workflows/1443?version=1		gtn, galaxy, proteomics	2025-06-02	2025-06-02	1	1	10	search_gui, query_tabular, unipept, peptide_shaker, sqlite_to_tabular			CC-BY-4.0		Galaxy Training Network	metap* in name	True
Workflow7: Beta Diversity [Galaxy Training: 16S Microbial Analysis With Mothur]	WorkflowHub	1418	https:/workflowhub.eu/workflows/1418?version=1		gtn, galaxy, microbiome	2025-06-02	2025-06-02	1	1	6	mothur_venn, mothur_heatmap_sim, mothur_dist_shared, collapse_dataset, mothur_tree_shared, newick_display			MIT		Galaxy Training Network	microbiome in tags	True
Monocle3 workflow	WorkflowHub	1516	https:/workflowhub.eu/workflows/1516?version=1		gtn, galaxy, name:scrna-seq, name:trajectory_analysis, name:transcriptomics	2025-06-02	2025-06-02	1	1	17	monocle3_orderCells, monocle3_preprocess, monocle3_reduceDim, monocle3_partition, monocle3_create, monocle3_topmarkers, monocle3_plotCells, monocle3_diffExp, monocle3_learnGraph			CC-BY-4.0		Galaxy Training Network	annot* in description	True
LOCKED | Combining single cell datasets after pre-processing	WorkflowHub	1543	https:/workflowhub.eu/workflows/1543?version=1		gtn, galaxy, name:single-cell, name:training	2025-06-02	2025-06-02	1	1	12	Cut1, tp_replace_in_column, Paste1, anndata_inspect, anndata_manipulate			MIT		Galaxy Training Network	binn* in name	True
AnnData object to Monocle input files	WorkflowHub	1520	https:/workflowhub.eu/workflows/1520?version=1		gtn, galaxy, name:scrna-seq, name:trajectory_analysis, name:transcriptomics	2025-06-02	2025-06-02	1	1	12	"regexColumn1, Cut1, join1, datamash_transpose, Double-check the cell_type column number
Filter1, tp_cut_tool, anndata_inspect"			CC-BY-4.0		Galaxy Training Network	annot* in description	True
